page,cluster,priority,primary_keyword,secondary_keywords
about-us.html,trust-corporate,P2,"metal tubular products metal tubular products","METAL TUBULAR PRODUCTS, METAL TUBULAR PRODUCTS metal tubular products, global industrial supplier, quality and technical support, international supply capability"
arc-welding-service.html,service-testing,P2,"arc welding service testing service","Arc Welding Service, Arc Welding Service service, Arc Welding Service testing service, industrial testing services, quality inspection services, global supplier, stockist, exporter, manufacturer, metal tubular products"
blasting-and-painting-service.html,service-testing,P2,"blasting and painting service testing service","Blasting And Painting Service, Blasting And Painting Service service, Blasting And Painting Service testing service, industrial testing services, quality inspection services, global supplier, stockist, exporter, manufact"
contact-us.html,conversion-contact,P1,"contact industrial pipes supplier","contact metal tubular products, rfq pipes tubes fittings flanges, global industrial supplier contact, project inquiry"
cutting-service.html,service-testing,P2,"cutting service testing service","Cutting Service, Cutting Service service, Cutting Service testing service, industrial testing services, quality inspection services, global supplier, stockist, exporter, manufacturer, metal tubular products"
epoxy-cutting-service.html,service-testing,P2,"epoxy cutting service testing service","Epoxy Cutting Service, Epoxy Cutting Service service, Epoxy Cutting Service testing service, industrial testing services, quality inspection services, global supplier, stockist, exporter, manufacturer, metal tubular prod"
fittings-and-flanges.html,product-category,P1,"fittings & flanges supplier","Fittings & Flanges, Fittings & Flanges supplier, Fittings & Flanges stockist, industrial piping products, project procurement, global supplier, stockist, exporter, manufacturer, metal tubular products"
grades/API-5L-X42-Pipes-Stockiest-and-supplier.html,grade-product,P2,"api 5l x4 pipes supplier stockist","API 5L X4 Pipes, API 5L X4 Pipes supplier, API 5L X4 Pipes stockist, API 5L X4 Pipes exporter, API 5L X4 Pipes manufacturer, API 5L X4 Pipes price, global supplier, stockist, exporter, manufacturer, metal tubular product"
grades/API-5L-X46-Pipes-Stockiest-and-supplier.html,grade-product,P2,"api 5l x46 pipes supplier stockist","API 5L X46 Pipes, API 5L X46 Pipes supplier, API 5L X46 Pipes stockist, API 5L X46 Pipes exporter, API 5L X46 Pipes manufacturer, API 5L X46 Pipes price, global supplier, stockist, exporter, manufacturer, metal tubular p"
grades/API-5L-X52-Pipes-Stockiest-and-supplier.html,grade-product,P2,"api 5l x52 pipes supplier stockist","API 5L X52 Pipes, API 5L X52 Pipes supplier, API 5L X52 Pipes stockist, API 5L X52 Pipes exporter, API 5L X52 Pipes manufacturer, API 5L X52 Pipes price, global supplier, stockist, exporter, manufacturer, metal tubular p"
